LATITUD,LONGITUD,TIPO,ACTIVIDAD,FECHA
-6.12385326,-76.84167805,ITS,Transportes,20/02/2019
-14.53932181,-75.18326209,Clasificación,Transportes,31/07/2018
-15.67244689,-74.52175233,Clasificación,Transportes,31/07/2018
-13.15209764,-70.39899865,ITS,Minería,20/08/2020
-13.15209764,-70.39899865,ITS,Minería,21/08/2020
-13.15209764,-70.39899865,ITS,Minería,28/08/2020
-13.15209764,-70.39899865,ITS,Minería,5/09/2020
-13.15209764,-70.39899865,ITS,Minería,7/09/2020
-12.90625629,-73.60211956,Clasificación,Transportes,10/07/2019
-10.64982749,-76.15976918,Clasificación,Transportes,6/11/2018
-13.77788738,-76.17274282,ITS,Minería,10/01/2019
-5.15656882,-80.75123974,ITS,Transportes,18/07/2019
-9.87992318,-76.47083287,ITS,Transportes,18/07/2019
-13.66068724,-71.60562191,ITS,Transportes,19/07/2019
-12.23857584,-69.14387705,ITS,Transportes,11/03/2020
-13.52613218,-70.89579055,ITS,Transportes,31/07/2018
-6.9862,-78.5205,MEIA-d,Minería,30/04/2018
-6.76329946,-78.62061249,ITS,Minería,29/12/2017
-4.588,-81.2014,ITS,Hidrocarburos,30/06/2016
-11.6993171,-76.11069864,Clasificación,Minería,6/12/2018
-9.1498,-77.3679,Clasificación,Electricidad,25/08/2016
-7.6121,-78.2019,ITS,Minería,13/11/2018
-11.8096,-72.88,ITS,Hidrocarburos,26/11/2018
-15.37062955,-75.01590569,Clasificación,Electricidad,29/11/2018
-14.72682934,-73.17972761,ITS,Minería,7/12/2018
-6.05028871,-77.92941517,ITS,Transportes,10/12/2018
-10.62937221,-76.69256759,ITS,Minería,14/01/2019
-17.05015761,-70.73324014,ITS,Minería,16/01/2019
-17.11625312,-70.64370481,ITS,Minería,11/02/2019
-12.31235719,-69.17039195,ITS,Transportes,3/03/2020
-16.26308573,-71.67149614,Clasificación,Transportes,13/11/2018
-16.52561525,-71.58299055,ITS,Minería,29/05/2019
-13.08875296,-75.99093623,ITS,Minería,15/07/2019
-12.57634558,-69.31032148,ITS,Transportes,23/04/2020
-9.94133801,-76.26274008,ITS,Transporte,1/12/2020
-4.5720948,-77.41777008,Clasificación,Transporte,2/12/2020
-11.97599743,-76.88989191,Clasificación,Residuos Sólidos,22/05/2020
-11.968336,-76.881453,ITS,Minería,25/11/2020
-4.579,-81.28099823,ITS,Hidrocarburos,13/11/2020
-13.15209764,-70.39899865,ITS,Electricidad,28/08/2020
-13.15209764,-70.39899865,Clasificación,Minería,28/08/2020
-11.98051765,-76.8656173,ITS,Electricidad,20/01/2017
-6.00821737,-78.85800693,ITS,Transportes,6/08/2018
-15.0394639,-70.35521673,Clasificación,Transportes,4/07/2018
-3.87773305,-76.58869042,Clasificación,Transportes,9/07/2018
-12.21193688,-76.96519849,Clasificación,Electricidad,10/07/2018
-11.97675137,-77.06230109,Clasificación,Transportes,18/07/2019
-13.15209764,-70.39899865,ITS,Minería,15/09/2020
-13.15209764,-70.39899865,PPC,Minería,25/08/2020
-12.11234726,-76.99443396,Clasificación,Electricidad,30/05/2019
-9.720189,-78.27049889,ITS,Transportes,20/02/2019
-9.9549,-77.0335,EIA-d,Minería,29/10/2018
-6.22232817,-80.05884245,Clasificación,Agricultura,14/05/2019
-4.60383031,-81.26461719,ITS,Hidrocarburos,4/12/2019
-17.77720378,-71.19021831,ITS,Electricidad,17/01/2020
-14.2296,-70.3254,ITS,Minería,4/02/2019
-8.21837457,-77.7885015,ITS,Minería,12/09/2017
-12.71716091,-75.07094506,ITS,Minería,21/09/2017
-13.06348195,-74.987972,ITS,Minería,21/09/2017
-11.60848354,-76.14244731,ITS,Minería,22/09/2017
-14.9848,-72.3111,ITS,Minería,22/10/2017
-15.642,-74.0468,ITS,Minería,14/10/2016
-4.4791,-81.162,ITS,Hidrocarburos,11/11/2016
-4.8608,-81.1384,ITS,Hidrocarburos,11/11/2016
-11.70209986,-76.11756319,ITS,Electricidad,15/06/2017
-9.86873233,-77.00777416,ITS,Minería,27/04/2017
-10.67901185,-76.27556573,ITS,Minería,26/12/2017
-7.89209965,-78.13050296,ITS,Minería,29/12/2017
-13.74820805,-76.00247663,Clasificación,Agricultura,21/09/2018
-15.7999733,-74.24450065,ITS,Minería,5/06/2018
-11.75097496,-76.00039369,ITS,Minería,26/06/2018
-4.24319251,-81.12588752,ITS,Hidrocarburos,1/09/2017
-14.9669046,-72.32039022,Clasificación,Minería,7/01/2018
-4.58344287,-81.27873663,ITS,Hidrocarburos,9/11/2017
-12.23936148,-75.27315487,Clasificación,Minería,31/10/2017
-12.88156875,-69.77593959,ITS,Transportes,31/10/2019
-5.82734599,-79.47317489,ITS,Transportes,22/02/2019
-14.47432846,-71.77388212,ITS,Minería,5/06/2019
-17.34201125,-70.70143926,ITS,Minería,16/02/2019
-3.41461515,-80.58493767,ITS,Hidrocarburos,24/10/2017
-10.45792535,-76.74649699,ITS,Minería,8/09/2017
-15.467,-71.9406,ITS,Minería,24/09/2018
-13.0866,-75.9938,ITS,Minería,30/11/2018
-5.2437,-74.3282,EIA-d,Hidrocarburos,17/10/2018
-13.5767,-70.4367,ITS,Electricidad,9/08/2018
-14.07406315,-72.31043183,ITS,Minería,30/11/2018
-15.39116406,-74.86134516,ITS,Minería,25/11/2019
-13.99166594,-73.94395269,ITS,Minería,2/06/2017
-15.62486464,-70.72425468,ITS,Minería,22/01/2018
-12.01791027,-77.14069889,Clasificación,Residuos Sólidos,12/02/2020
-8.41843332,-74.66033373,ITS,Electricidad,12/02/2020
-4.58001258,-81.28286428,ITS,Hidrocarburos,13/09/2019
